Match Played,Teams,Group,Map,Groups Playing,Week,Day,Match No,Team Match No,Chicken Dinner,Placement,Kills,Total
1, Celtz,A,Erangel,A B C D,1,1,1,1,0,1,2,3
1, Crwl,B,Erangel,A B C D,1,1,1,1,0,8,3,11
1, Deadeyes,D,Erangel,A B C D,1,1,1,1,0,1,0,1
0, EX,E,Erangel,A B C D,1,1,1,0,0,0,0,0
1, Fnatic,D,Erangel,A B C D,1,1,1,1,0,2,5,7
0, GodLike,E,Erangel,A B C D,1,1,1,0,0,0,0,0
1, Hype,A,Erangel,A B C D,1,1,1,1,0,4,6,10
1, IND,D,Erangel,A B C D,1,1,1,1,0,7,5,12
1, Instinct,B,Erangel,A B C D,1,1,1,1,0,5,0,5
1, JyanMaara,C,Erangel,A B C D,1,1,1,1,0,14,1,15
1, Marcos,A,Erangel,A B C D,1,1,1,1,0,1,1,2
1, MegaStars,C,Erangel,A B C D,1,1,1,1,0,3,1,4
1, OR,D,Erangel,A B C D,1,1,1,1,0,1,0,1
0, PowerH,E,Erangel,A B C D,1,1,1,0,0,0,0,0
1, SGE,C,Erangel,A B C D,1,1,1,1,0,1,0,1
1, SouL,B,Erangel,A B C D,1,1,1,1,0,6,2,8
1, Tamilas,B,Erangel,A B C D,1,1,1,1,0,10,4,14
1, TSM Entity,A,Erangel,A B C D,1,1,1,1,1,20,19,39
1, Umumba Rxn,C,Erangel,A B C D,1,1,1,1,0,1,0,1
0, Xtreme,E,Erangel,A B C D,1,1,1,0,0,0,0,0
1, Celtz,A,Sanhok,A B C D,1,1,2,2,0,1,0,1
1, Crwl,B,Sanhok,A B C D,1,1,2,2,0,6,5,11
1, Deadeyes,D,Sanhok,A B C D,1,1,2,2,0,4,2,6
0, EX,E,Sanhok,A B C D,1,1,2,0,0,0,0,0
1, Fnatic,D,Sanhok,A B C D,1,1,2,2,0,2,0,2
0, GodLike,E,Sanhok,A B C D,1,1,2,0,0,0,0,0
1, Hype,A,Sanhok,A B C D,1,1,2,2,0,1,0,1
1, IND,D,Sanhok,A B C D,1,1,2,2,0,7,2,9
1, Instinct,B,Sanhok,A B C D,1,1,2,2,0,1,0,1
1, JyanMaara,C,Sanhok,A B C D,1,1,2,2,0,1,1,2
1, Marcos,A,Sanhok,A B C D,1,1,2,2,0,1,3,4
1, MegaStars,C,Sanhok,A B C D,1,1,2,2,0,1,1,2
1, OR,D,Sanhok,A B C D,1,1,2,2,0,5,4,9
0, PowerH,E,Sanhok,A B C D,1,1,2,0,0,0,0,0
1, SGE,C,Sanhok,A B C D,1,1,2,2,0,14,15,29
1, SouL,B,Sanhok,A B C D,1,1,2,2,1,20,15,35
1, Tamilas,B,Sanhok,A B C D,1,1,2,2,0,10,3,13
1, TSM Entity,A,Sanhok,A B C D,1,1,2,2,0,8,3,11
1, Umumba Rxn,C,Sanhok,A B C D,1,1,2,2,0,3,2,5
0, Xtreme,E,Sanhok,A B C D,1,1,2,0,0,0,0,0
1, Celtz,A,Miramar,A B C D,1,1,3,3,0,8,2,10
1, Crwl,B,Miramar,A B C D,1,1,3,3,0,5,2,7
1, Deadeyes,D,Miramar,A B C D,1,1,3,3,0,3,5,8
0, EX,E,Miramar,A B C D,1,1,3,0,0,0,0,0
1, Fnatic,D,Miramar,A B C D,1,1,3,3,0,14,10,24
0, GodLike,E,Miramar,A B C D,1,1,3,0,0,0,0,0
1, Hype,A,Miramar,A B C D,1,1,3,3,0,1,0,1
1, IND,D,Miramar,A B C D,1,1,3,3,0,10,7,17
1, Instinct,B,Miramar,A B C D,1,1,3,3,0,1,0,1
1, JyanMaara,C,Miramar,A B C D,1,1,3,3,0,4,3,7
1, Marcos,A,Miramar,A B C D,1,1,3,3,0,1,2,3
1, MegaStars,C,Miramar,A B C D,1,1,3,3,0,2,2,4
1, OR,D,Miramar,A B C D,1,1,3,3,0,1,2,3
0, PowerH,E,Miramar,A B C D,1,1,3,0,0,0,0,0
